Kategori,Sıra,Ürün Adı,Fiyat,Link
Elektronik,#2,Spigen 47W USB-C 2 Port Mini Hızlı Şarj Aleti PPS 2.0 Desteği/Isı Düşürücü GaN Pro Destekli Akım Korumalı Güç Adaptörü iPhone & Android & iPad & MacBook Type-C White - ACH08707,"349,90 TL",https://www.amazon.com.tr/Spigen-D%C3%BC%C5%9F%C3%BCr%C3%BCc%C3%BC-Destekli-Korumal%C4%B1-Adapt%C3%B6r%C3%BC/dp/B0F4QHY97M/ref=zg_bs_g_electronics_d_sccl_2/262-9629842-5424116?psc=1
Elektronik,#3,Minesk iPhone 13 ve 14 için Magsafe ile Uyumlu Şeffaf Kılıf Kristal Berraklığında Materyal Polikarbonat Arka Kısım ve Silikon Kenarlar Wireless Kablosuz Şarj Destekli Kılıf Kapak (13-14),"189,90 TL",https://www.amazon.com.tr/Berrakl%C4%B1%C4%9F%C4%B1nda-Materyal-Polikarbonat-Kenarlar-Wireless/dp/B09NK56YWT/ref=zg_bs_g_electronics_d_sccl_3/262-9629842-5424116?psc=1
Elektronik,#4,BABİLDEN Apple iPhone 16E / iPhone 14 / iPhone 13 / iPhone 13 Pro İle Uyumlu Hizalama Aparatlı ve Takılırken Camın Altında Kesinlikle Toz Bırakmayan Darbelere Karşı Ekstra Güçlü Ekran Koruyucu Cam,"194,90 TL",https://www.amazon.com.tr/iPhone-14-13-Pro-Tak%C4%B1l%C4%B1rken/dp/B0CS9SW937/ref=zg_bs_g_electronics_d_sccl_4/262-9629842-5424116?psc=1
Elektronik,#5,Apple EarPods (USB-C),"831,37 TL",https://www.amazon.com.tr/Apple-MYQY3TU-A-EarPods-USB-C/dp/B0DCW94411/ref=zg_bs_g_electronics_d_sccl_5/262-9629842-5424116?psc=1
Elektronik,#6,"JBL C100SI, Kulaklık, CT, IE, Siyah","349,00 TL",https://www.amazon.com.tr/JBLC100SIUBLK-C100-JBL-Kulak-Kulakl%C4%B1k/dp/B01DEWVZ2C/ref=zg_bs_g_electronics_d_sccl_6/262-9629842-5424116?psc=1
Elektronik,#7,"Xiaomi Akıllı Kamera C300, 1296p WiFi Kamera, Bebek Monitörü, İç Mekan Kamerası, Evcil Hayvan Kamerası, Gece Görüşü, 360° Dönen Başlık, Beyaz","1.699,00 TL",https://www.amazon.com.tr/Xiaomi-Ak%C4%B1ll%C4%B1-Kamera-Monit%C3%B6r%C3%BC-Kameras%C4%B1/dp/B0BRYGF4Y6/ref=zg_bs_g_electronics_d_sccl_7/262-9629842-5424116?psc=1
Elektronik,#8,"Duracell Optimum AA Alkalin Kalem Pil (8'li Paket) 1,5V - LR6 MX1500","316,00 TL",https://www.amazon.com.tr/Duracell-Optimum-Alkalin-MN1500-Paket/dp/B09TBB7KSS/ref=zg_bs_g_electronics_d_sccl_8/262-9629842-5424116?psc=1
Elektronik,#9,"Xiaomi Mi TV Box S 2. Nesil, Mi Box S Ultra HD 4K Streaming Media Player, Chromecast'li S 2. Nesil TV Kutusu, Wi-Fi, 2GB RAM + 8GB ROM","2.559,99 TL",https://www.amazon.com.tr/Xiaomi-TV-Box-Streaming-Chromecastli/dp/B0CD3PHPD8/ref=zg_bs_g_electronics_d_sccl_9/262-9629842-5424116?psc=1
Elektronik,#10,Apple 20 W USB-C Güç Adaptörü,"773,38 TL",https://www.amazon.com.tr/Apple-20-USB-C-G%C3%BC%C3%A7-Adapt%C3%B6r%C3%BC/dp/B0DZ7SP4SH/ref=zg_bs_g_electronics_d_sccl_10/262-9629842-5424116?psc=1
Elektronik,#11,"Duracell CR 2032 Lityum Düğme Pil (4’lü paket) 3V, (CR2032)","264,87 TL",https://www.amazon.com.tr/Duracell-Dl2032-Br2032-Cr2032-D%C3%BC%C4%9Fme/dp/B01CG0TO76/ref=zg_bs_g_electronics_d_sccl_11/262-9629842-5424116?psc=1
Elektronik,#12,Spigen 30W USB-C Ultra Mini Hızlı Şarj Aleti PPS Desteği/Isı Düşürücü GaN Destekli Akım Korumalı Güç Adaptörü iPhone & Android & iPad & MacBook Type-C Black- ACH08448,Fiyat Yok,https://www.amazon.com.tr/Spigen-D%C3%BC%C5%9F%C3%BCr%C3%BCc%C3%BC-Destekli-Korumal%C4%B1-ACH08448/dp/B0DFX1N74Z/ref=zg_bs_g_electronics_d_sccl_12/262-9629842-5424116?psc=1
Elektronik,#13,Minesk iPhone 17 Pro Max için Origin Serisi Premium Kalite Magsafe ile Uyumlu Kılıf Crystal Clear Super Şeffaf Materyal ve İnceltilmiş 3D Gerçek Manyetik Çember (17 Pro Max),Fiyat Yok,https://www.amazon.com.tr/Premium-Magsafe-Materyal-%C4%B0nceltilmi%C5%9F-Manyetik/dp/B0FK5M4JPG/ref=zg_bs_g_electronics_d_sccl_13/262-9629842-5424116?psc=1
Elektronik,#14,Babilden iPhone için Kılıf Kamera Korumalı Magsafe Wireless Şarj Özellikli Mat Şeffaf Renkli Kılıf (iPhone 13 Siyah),"173,83 TL",https://www.amazon.com.tr/Babilden-iPhone-%C3%96zellikli-13-Siyah/dp/B0CSP7M6DJ/ref=zg_bs_g_electronics_d_sccl_14/262-9629842-5424116?psc=1
Elektronik,#15,Xiaomi TV Box S (3. Nesil) EU,"3.496,00 TL",https://www.amazon.com.tr/Xiaomi-TV-Box-3-Nesil/dp/B0F3JWFL56/ref=zg_bs_g_electronics_d_sccl_15/262-9629842-5424116?psc=1
Elektronik,#16,Spigen 67W USB-C + USB-A 3 Port Hızlı Şarj Aleti PPS 2.0 Desteği Isı Düşüren GaN Pro Destekli Akım Korumalı Güç Adaptörü iPhone & Android & iPad & MacBook Type-C Black - ACH09458,"699,90 TL",https://www.amazon.com.tr/Spigen-Deste%C4%9Fi-Destekli-Korumal%C4%B1-Adapt%C3%B6r%C3%BC/dp/B0F9WFYMWF/ref=zg_bs_g_electronics_d_sccl_16/262-9629842-5424116?psc=1
Elektronik,#17,"Duracell AA Alkalin Kalem Pil (8'li paket) 1,5 V LR6/MN1500","252,30 TL",https://www.amazon.com.tr/Duracell-Mn1500-Basic-Kalem-Bak%C4%B1r/dp/B07BVTDQ6R/ref=zg_bs_g_electronics_d_sccl_17/262-9629842-5424116?psc=1
Elektronik,#18,Spigen 20W USB-C Mini Hızlı Şarj Aleti/Şarj Isısını Düşürür GaN Destekli Akım Korumalı Güç Adaptörü iPhone & Android & iPad Type-C EE201 White - ACH08701,"199,90 TL",https://www.amazon.com.tr/Spigen-Is%C4%B1s%C4%B1n%C4%B1-Destekli-Korumal%C4%B1-Adapt%C3%B6r%C3%BC/dp/B0DWT5G6QQ/ref=zg_bs_g_electronics_d_sccl_18/262-9629842-5424116?psc=1
Elektronik,#19,Next Start Pro 4K Media Player (2. Nesil),Fiyat Yok,https://www.amazon.com.tr/Next-Start-Media-Player-Nesil/dp/B0DZCX2K9D/ref=zg_bs_g_electronics_d_sccl_19/262-9629842-5424116?psc=1
Elektronik,#20,"Metapen Kalem A8 iPad 2018-2025 ile Uyumlu, 2X Daha Hızlı Şarj, Avuç İçi Reddi, Eğim Hassasiyeti Stylus Kalem Apple iPad 11/10/9/8/7/6 Gen, Pro 12.9/11'', Air 3.-5. Mini 5./6 (Beyaz)","549,99 TL",https://www.amazon.com.tr/Metapen-2018-2025-Uyumlu-Hassasiyeti-Stylus/dp/B09ZTXVNVD/ref=zg_bs_g_electronics_d_sccl_20/262-9629842-5424116?psc=1
Elektronik,#21,Brennenstuhl Eco Line Serisi 13.500A Akım Koruyucu Tek Soketli Priz,"489,26 TL",https://www.amazon.com.tr/Brennenstuhl-Primera-Line-13-500-Soketli/dp/B07DVNMNWM/ref=zg_bs_g_electronics_d_sccl_21/262-9629842-5424116?psc=1
Elektronik,#22,"Spia Apple iPhone 16E ile Uyumlu Kılıf Siyah Lansman Kapak Orijinal (Apple iPhone 16E ile Uyumlu, Siyah)","249,90 TL",https://www.amazon.com.tr/Spia-iPhone-Uyumlu-Lansman-Orijinal/dp/B0FDQVW74P/ref=zg_bs_g_electronics_d_sccl_22/262-9629842-5424116?psc=1
Elektronik,#23,"URUCHI iPhone 17 Pro Max İle Uyumlu Güçlü Manyetik Telefon Kılıfı, [Mag-Safe ile Uyumlu] [Askeri Düzey Düşme Koruması] [Güçlü Silikon Kenarlar] İnce Yarı Saydam Mat Koruyucu Kılıf, Lacivert","369,90 TL",https://www.amazon.com.tr/URUCHI-Manyetik-Mag-Safe-Korumas%C4%B1-Kenarlar/dp/B0FCMT214Y/ref=zg_bs_g_electronics_d_sccl_23/262-9629842-5424116?psc=1
Elektronik,#24,"Apple iPhone 17 Pro Max 512 GB:ProMotion teknolojisine sahip 6.9 inç ekran, A19 Pro Çip, Bir iPhone’da Şimdiye Kadarki En İyi Pil Ömrü, Pro Fusion Kamera Sistemi, Center Stage Ön Kamera;Gümüş Rengi","126.049,00 TL",https://www.amazon.com.tr/Apple-iPhone-Pro-Max-teknolojisine/dp/B0FQG26YH9/ref=zg_bs_g_electronics_d_sccl_24/262-9629842-5424116?psc=1
Elektronik,#25,"Duracell Optimum AAA İnce Kalem Pil (8’li Paket) - Alkalin Pil 1,5V - Pil Saklama Paketi - LR03 MX2400","315,98 TL",https://www.amazon.com.tr/Duracell-Optimum-%C4%B0nce-Kalem-Paket/dp/B09TBB9DHP/ref=zg_bs_g_electronics_d_sccl_25/262-9629842-5424116?psc=1
Elektronik,#26,"URUCHI iPhone 16e / 14/13 Pro / 13 (6.1"") Anti-Statik Ekran Koruyucu, HD Tam Kapsamlı Ekran Kapağı Cam Filmi","149,90 TL",https://www.amazon.com.tr/Apple-iPhone-Uruchi-Koruyucu-Kapsaml%C4%B1/dp/B09TKJYBJ7/ref=zg_bs_g_electronics_d_sccl_26/262-9629842-5424116?psc=1
Elektronik,#27,GGM AKSESUAR iPhone 13/14 ile Uyumlu Silikon Şeffaf Kılıf Şok Emici Özellikli Full Kasa Koruma Sağlayan Şeffaf Kılıf,"99,00 TL",https://www.amazon.com.tr/GGM-G%C4%B0Y%C4%B0M-AKSESUAR-%C3%96zellikli-Transparent/dp/B0B52JKDBK/ref=zg_bs_g_electronics_d_sccl_27/262-9629842-5424116?psc=1
Elektronik,#28,"JBL Go4, Bluetooth Hoparlör, IP67, Siyah","1.524,00 TL",https://www.amazon.com.tr/JBL-Bluetooth-Hoparl%C3%B6r-IP67-Siyah/dp/B0CX5C6WP3/ref=zg_bs_g_electronics_d_sccl_28/262-9629842-5424116?psc=1
